登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3661,2026-06-21,17.2,38.1,28.6,23.8,0.14,2.5,19.7,12.5,25.0,20.8,0.18,4.3,15.6,15.8,26.3,0.0,0.16,3.0,17.2,4.8,23.8,0.0,0.16,3.3,20.5,4.0,8.0,16.0,0.15,2.8,9.8,8.3,16.7,0.0,0.14,2.7
3662,2026-06-21,19.5,38.5,38.5,0.0,0.14,3.7,13.5,5.6,11.1,16.7,0.17,3.0,18.8,20.0,24.0,12.0,0.14,2.9,17.3,13.0,21.7,17.4,0.17,3.6,15.0,10.0,20.0,15.0,0.18,3.7,15.8,4.8,4.8,14.3,0.17,3.2
3663,2026-06-21,15.9,52.4,14.3,9.5,0.14,3.0,17.4,13.0,21.7,26.1,0.14,3.0,18.2,4.2,45.8,12.5,0.15,3.3,16.7,13.6,18.2,27.3,0.17,3.7,16.7,4.5,13.6,18.2,0.19,3.6,15.2,10.0,30.0,0.0,0.19,3.3
3664,2026-06-21,16.2,66.7,33.3,0.0,0.15,2.3,20.7,34.8,17.4,0.0,0.16,3.3,16.2,11.1,22.2,5.6,0.14,2.8,16.2,11.1,22.2,5.6,0.17,3.1,19.8,4.5,18.2,0.0,0.2,4.0,10.8,8.3,8.3,0.0,0.22,5.1
3680,2026-06-21,12.1,33.3,8.3,8.3,0.17,3.5,24.2,4.2,16.7,25.0,0.19,4.3,15.2,13.3,6.7,26.7,0.16,3.7,17.2,29.4,29.4,0.0,0.18,3.6,17.2,11.8,0.0,0.0,0.2,4.8,14.1,7.1,21.4,0.0,0.26,5.3
3681,2026-06-21,16.8,47.1,17.6,11.8,0.14,2.5,17.8,33.3,27.8,16.7,0.18,3.4,15.8,6.2,18.8,18.8,0.17,3.1,20.8,19.0,19.0,4.8,0.12,2.6,16.8,5.9,11.8,23.5,0.15,2.8,11.9,8.3,16.7,0.0,0.14,2.9
3686,2026-06-21,18.9,50.0,29.2,8.3,0.12,1.7,17.3,4.5,36.4,27.3,0.14,3.0,15.7,15.0,45.0,5.0,0.14,2.7,16.5,14.3,19.0,19.0,0.15,2.8,17.3,4.5,27.3,31.8,0.14,2.8,14.2,11.1,16.7,0.0,0.17,3.8
3687,2026-06-21,16.0,40.0,20.0,20.0,0.14,3.1,30.9,13.8,10.3,0.0,0.17,3.3,23.4,9.1,18.2,22.7,0.16,3.4,26.6,4.0,8.0,28.0,0.18,3.3,2.1,0.0,0.0,0.0,0.22,4.0,1.1,100.0,0.0,0.0,0.07,1.0
3701,2026-06-21,13.8,33.3,13.3,0.0,0.17,3.3,17.4,10.5,26.3,0.0,0.21,4.7,17.4,5.3,15.8,0.0,0.17,3.6,16.5,11.1,11.1,27.8,0.13,2.6,16.5,11.1,11.1,0.0,0.17,2.5,18.3,5.0,15.0,0.0,0.14,2.8
3703,2026-06-21,21.7,48.0,32.0,12.0,0.16,2.9,18.3,28.6,19.0,19.0,0.16,3.6,20.0,8.7,17.4,17.4,0.19,3.5,18.3,4.8,28.6,28.6,0.15,3.4,14.8,5.9,11.8,23.5,0.16,3.4,7.0,12.5,0.0,0.0,0.22,4.1
